sample_fp	plate	cycle	well	tile
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-109__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	109
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-110__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	110
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-111__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	111
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-112__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	112
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-113__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	113
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-114__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	114
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-115__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	115
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-116__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	116
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-117__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	117
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-118__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	118
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-119__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	119
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-120__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	120
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-121__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	121
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-122__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	122
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-123__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	123
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-124__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	124
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-125__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	125
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-126__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	126
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-127__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	127
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-128__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	128
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-129__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	129
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-130__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	130
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-131__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	131
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-132__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	132
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-133__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	133
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-134__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	134
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-135__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	135
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-136__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	136
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-137__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	137
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-138__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	138
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-139__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	139
