index	sample_fp	plate	well	tile	round
40961	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-035__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	35	3
40962	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-036__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	36	1
40963	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-036__Channel_DAPI,GFP.nd2	1	B2	36	2
40964	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-036__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	36	3
40965	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-037__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	37	1
40966	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-037__Channel_DAPI,GFP.nd2	1	B2	37	2
40967	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-037__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	37	3
40968	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-038__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	38	1
40969	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-038__Channel_DAPI,GFP.nd2	1	B2	38	2
40970	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-038__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	38	3
